feature,group,spearman_value_vs_shap,rho_ci95_low,rho_ci95_high,ci_excludes_zero,mean_abs_shap
nbr_pm25_100km,Regional PM signal,0.992,0.991,0.993,True,1.7547
nbr_pm25_25km,Regional PM signal,0.988,0.984,0.991,True,1.4289
nbr_pm25_50km,Regional PM signal,0.993,0.992,0.994,True,1.2951
nbr_std_50km,Regional PM signal,0.88,0.853,0.906,True,0.4001
cams_pm25,Regional PM signal,0.97,0.966,0.973,True,0.2237
longitude,Geography,0.445,0.325,0.545,True,0.1878
dist_to_coast,Geography,-0.496,-0.627,-0.353,True,0.1664
humidity,Meteorology,0.878,0.862,0.892,True,0.1359
latitude,Geography,0.188,0.055,0.315,True,0.129
aod,Regional PM signal,0.958,0.952,0.963,True,0.1258
temp_x_humidity,Meteorology,0.891,0.877,0.905,True,0.1205
dist_to_nearest_sensor,Geography,-0.32,-0.439,-0.186,True,0.1194
hms_smoke,Wildfire smoke,0.857,0.851,0.863,True,0.0898
nbr_count_50km,Regional PM signal,-0.894,-0.919,-0.862,True,0.0872
nbr_count_25km,Regional PM signal,-0.693,-0.74,-0.643,True,0.0709
pressure,Meteorology,-0.644,-0.743,-0.527,True,0.0546
nbr_count_100km,Regional PM signal,-0.562,-0.635,-0.487,True,0.0433
temperature,Meteorology,0.767,0.752,0.78,True,0.0384
day_of_year,Season & calendar,-0.635,-0.653,-0.618,True,0.0322
precipitation,Meteorology,0.624,0.595,0.649,True,0.0283
doy_sin,Season & calendar,0.678,0.651,0.702,True,0.0259
doy_cos,Season & calendar,0.613,0.582,0.643,True,0.0156
month_sin,Season & calendar,0.792,0.782,0.802,True,0.0146
month,Season & calendar,-0.585,-0.603,-0.568,True,0.0131
wind_speed,Meteorology,-0.465,-0.511,-0.421,True,0.0116
wind_x_temp,Meteorology,-0.173,-0.227,-0.117,True,0.0105
month_cos,Season & calendar,0.258,0.211,0.3,True,0.0041
dow,Season & calendar,0.253,0.221,0.284,True,0.0018
dow_sin,Season & calendar,0.236,0.198,0.27,True,0.0017
dow_cos,Season & calendar,0.065,0.027,0.099,True,0.0013
