,mean_abs_shap,group
nbr_pm25_100km,1.7546711,Regional PM signal
nbr_pm25_25km,1.4288784,Regional PM signal
nbr_pm25_50km,1.295079,Regional PM signal
nbr_std_50km,0.40007195,Regional PM signal
cams_pm25,0.22369117,Regional PM signal
longitude,0.18775493,Geography
dist_to_coast,0.16642025,Geography
humidity,0.13588163,Meteorology
latitude,0.12904792,Geography
aod,0.12579636,Regional PM signal
temp_x_humidity,0.12054675,Meteorology
dist_to_nearest_sensor,0.11936489,Geography
hms_smoke,0.08976623,Wildfire smoke
nbr_count_50km,0.08718536,Regional PM signal
nbr_count_25km,0.0708754,Regional PM signal
pressure,0.05463678,Meteorology
nbr_count_100km,0.043278202,Regional PM signal
temperature,0.038419373,Meteorology
day_of_year,0.03223721,Season & calendar
precipitation,0.028299393,Meteorology
doy_sin,0.025945922,Season & calendar
doy_cos,0.015649168,Season & calendar
month_sin,0.014576599,Season & calendar
month,0.0130856065,Season & calendar
wind_speed,0.011629629,Meteorology
wind_x_temp,0.01051858,Meteorology
month_cos,0.0041350364,Season & calendar
dow,0.0017800687,Season & calendar
dow_sin,0.0017371126,Season & calendar
dow_cos,0.001343573,Season & calendar
