sensor_id,Wildfire smoke,Regional PM signal,Meteorology,Geography,Season & calendar,lat,lon,pred,GEOID
101808,-0.0243,0.5209,0.1168,-0.1745,0.0074,29.6205,-98.5327,10.0941,48029191806
102762,0.0002,0.6581,0.0457,-0.1334,0.0029,30.2912,-97.7129,10.2212,48453000307
104402,-0.0132,0.0826,0.0137,0.4125,0.0366,32.7191,-97.3539,10.1799,48439104302
105110,0.0083,1.4768,0.0702,1.1431,-0.0065,32.076,-94.5274,12.3397,48365950500
109562,-0.0121,-0.4722,-0.191,-0.1793,-0.0353,32.5027,-96.9984,8.7578,48139060704
109566,0.0198,-0.0493,0.0463,0.0757,-0.0358,32.5767,-97.0082,9.7045,48113016525
110162,-0.0239,-1.0209,-0.0026,-0.5452,-0.0172,30.4444,-97.7611,8.038,48491020410
113648,-0.0458,-0.8593,-0.2093,-0.7321,-0.0117,33.1879,-97.0086,7.7895,48121020131
113732,-0.0042,0.2454,-0.0873,-1.3109,0.0155,33.3771,-97.0086,8.5062,48121020118
114119,-0.0805,-5.4424,-0.281,-0.3758,-0.0065,33.2386,-97.1097,3.4616,48121020505
118895,-0.0592,-1.6039,0.0549,0.0984,0.005,29.8166,-95.3246,8.1428,48201230100
118993,-0.0043,1.3925,0.0022,-1.6165,-0.0109,33.2908,-96.6188,9.4108,48085030202
119625,-0.0932,-4.547,-1.2502,-1.8569,0.0118,31.9063,-106.4106,1.9123,48141000110
120681,0.0325,2.0619,-0.0014,-0.401,0.0066,32.978,-96.9773,11.3463,48113014135
121359,0.0014,-1.2903,-0.0672,-0.0289,-0.008,30.2669,-97.7222,8.2548,48453000901
122131,0.0009,-0.5691,-0.1465,-0.5083,-0.0129,30.5106,-97.755,8.4119,48491020509
122907,-0.0084,0.4349,0.0773,-0.0976,0.0161,29.9871,-97.8618,10.07,48209010924
122917,0.0221,1.6271,0.0208,-0.0322,-0.0295,33.0948,-96.8848,11.2561,48121021521
122923,-0.0174,-0.9467,0.0425,-0.3154,0.0047,30.3122,-97.7163,8.4156,48453000304
123001,-0.0067,-0.9725,-0.0285,0.2014,0.0057,30.6787,-97.6746,8.8472,48491020108
123007,0.0025,-1.2918,-0.0471,-0.4225,-0.0047,30.5792,-97.4165,7.8843,48491021203
123009,0.0483,-0.284,0.0995,0.5389,-0.0261,30.1083,-97.2938,10.0244,48021950401
123409,-0.0072,-3.3687,0.0177,-0.127,-0.0297,32.6869,-96.7379,6.1329,48113020200
123453,0.0417,0.8023,-0.0367,-0.1655,-0.0328,32.734,-96.7924,10.2569,48113021100
124669,-0.0208,-1.9392,-0.1064,-0.9538,-0.0284,29.4684,-98.7695,6.5991,48029172004
126067,0.0088,0.1283,0.0581,-0.7071,-0.0525,31.3304,-97.2654,9.0834,48309003802
127045,0.0002,0.7433,-0.045,-0.8165,-0.0424,33.022,-97.2252,9.4875,48121020322
127059,-0.0043,-0.145,-0.0731,-0.9335,0.013,33.0324,-97.1484,8.5049,48121020305
127103,0.0152,1.2487,0.0316,-0.7589,0.0081,33.0887,-97.3037,10.1925,48121020319
127441,0.0107,2.9666,0.1346,1.0467,0.0127,29.8097,-95.2803,13.8191,48201230900
127451,0.0073,-0.6792,0.021,-0.4875,-0.0,29.7784,-95.3595,8.5094,48201212300
127463,-0.0163,-1.0049,0.0703,-0.106,-0.03,29.8039,-95.3072,8.5609,48201211700
128007,0.0057,1.4151,0.0556,-0.8049,0.0026,29.6708,-95.1453,10.3219,48201342200
128017,0.0439,2.4936,0.127,-0.0799,0.0126,30.1533,-96.0122,12.245,48473680303
128645,0.0221,1.347,0.0387,-0.1562,0.0057,32.8366,-96.8104,10.905,48113019502
12969,0.0067,1.4856,0.005,-0.2775,-0.0322,32.9917,-96.8592,10.8354,48121021637
130825,0.0035,-2.6197,0.0395,-0.4237,-0.0402,30.2503,-97.7592,6.6071,48453001312
131903,-0.0967,-6.7759,-0.3482,-1.0789,-0.0985,31.7859,-106.3598,1.2496,48141003404
133141,-0.0404,2.0346,0.0756,-0.7152,-0.0046,29.6531,-98.2976,10.9978,48091310801
133634,-0.0246,-3.4793,-0.7649,-1.2293,-0.0014,35.1731,-101.9331,4.1483,48381021604
133818,0.066,3.0401,0.0492,0.1945,-0.1062,33.2434,-96.9128,12.8914,48121020123
133994,0.0099,0.2107,-0.0045,-0.7641,0.0023,29.7414,-95.3335,9.1021,48201310300
134442,0.0109,-1.388,-0.1134,-0.325,0.0056,30.4583,-97.8093,7.8378,48491020403
