feature_a,feature_b,group_a,group_b,mean_abs_interaction
nbr_pm25_25km,nbr_pm25_100km,Regional PM signal,Regional PM signal,0.5023302668757954
nbr_pm25_50km,nbr_pm25_100km,Regional PM signal,Regional PM signal,0.4561787187137651
nbr_pm25_25km,nbr_pm25_50km,Regional PM signal,Regional PM signal,0.28401126864421894
nbr_std_50km,nbr_pm25_100km,Regional PM signal,Regional PM signal,0.15910511217810772
nbr_pm25_50km,nbr_std_50km,Regional PM signal,Regional PM signal,0.1446757412683523
nbr_pm25_25km,nbr_std_50km,Regional PM signal,Regional PM signal,0.12046795886970241
nbr_pm25_100km,cams_pm25,Regional PM signal,Regional PM signal,0.0813449005315488
nbr_pm25_50km,cams_pm25,Regional PM signal,Regional PM signal,0.0713694995327192
nbr_pm25_25km,cams_pm25,Regional PM signal,Regional PM signal,0.06602626734196246
diesel_pm_proximity,pct_ling_isolated,Local sources,Community & EJ context,0.05247010828393836
nbr_pm25_100km,aod,Regional PM signal,Regional PM signal,0.046693647604684405
ejf_score,rmp_proximity,Community & EJ context,Local sources,0.0430925921749333
dist_to_coast,nbr_pm25_25km,Geography,Regional PM signal,0.04300662856636041
nbr_pm25_50km,aod,Regional PM signal,Regional PM signal,0.042632826719728345
humidity,nbr_pm25_25km,Meteorology,Regional PM signal,0.042121467819286544
humidity,nbr_pm25_100km,Meteorology,Regional PM signal,0.03676173128378446
rmp_proximity,nbr_pm25_100km,Local sources,Regional PM signal,0.03564452268773182
humidity,nbr_pm25_50km,Meteorology,Regional PM signal,0.03512750714931396
nbr_pm25_25km,aod,Regional PM signal,Regional PM signal,0.03452606885336028
longitude,nbr_pm25_100km,Geography,Regional PM signal,0.03394896283697456
pct_low_income,rmp_proximity,Community & EJ context,Local sources,0.03283576226157047
latitude,dist_to_coast,Geography,Geography,0.03257271637434062
nbr_pm25_100km,temp_x_humidity,Regional PM signal,Meteorology,0.03242303372047982
traffic_proximity,longitude,Local sources,Geography,0.032025215952918934
nbr_std_50km,cams_pm25,Regional PM signal,Regional PM signal,0.030449196915233425
rmp_proximity,dist_to_coast,Local sources,Geography,0.029565186263753283
pct_people_of_color,nbr_pm25_25km,Community & EJ context,Regional PM signal,0.029551685322298703
pct_low_income,longitude,Community & EJ context,Geography,0.0293145465533785
dist_to_coast,nbr_pm25_100km,Geography,Regional PM signal,0.029087740596469083
latitude,longitude,Geography,Geography,0.02728807458463955
nbr_pm25_50km,temp_x_humidity,Regional PM signal,Meteorology,0.027041203516862417
latitude,nbr_pm25_25km,Geography,Regional PM signal,0.027004331485767558
pct_people_of_color,rmp_proximity,Community & EJ context,Local sources,0.02662162792078903
nbr_pm25_25km,temp_x_humidity,Regional PM signal,Meteorology,0.024903458606951135
pct_people_of_color,longitude,Community & EJ context,Geography,0.02457387516554336
longitude,nbr_pm25_50km,Geography,Regional PM signal,0.02431419629821801
rmp_proximity,pct_ling_isolated,Local sources,Community & EJ context,0.02382791460581555
dist_to_coast,nbr_pm25_50km,Geography,Regional PM signal,0.02326828271190046
dist_to_nearest_sensor,nbr_pm25_25km,Geography,Regional PM signal,0.023138113968065734
dist_to_nearest_sensor,dist_to_coast,Geography,Geography,0.02303937482859248
pct_people_of_color,latitude,Community & EJ context,Geography,0.022826170083249032
ejf_score,pct_ling_isolated,Community & EJ context,Community & EJ context,0.022151294499059893
longitude,nbr_pm25_25km,Geography,Regional PM signal,0.022134510604082083
nbr_pm25_100km,hms_smoke,Regional PM signal,Wildfire smoke,0.022018227008046336
superfund_proximity,rmp_proximity,Local sources,Local sources,0.021311103546155757
longitude,dist_to_coast,Geography,Geography,0.020421184752323865
pct_low_income,nbr_pm25_25km,Community & EJ context,Regional PM signal,0.020412568433330294
traffic_proximity,nbr_pm25_100km,Local sources,Regional PM signal,0.02031689080197962
ejf_score,dist_to_coast,Community & EJ context,Geography,0.020222461749993578
rmp_proximity,nbr_count_100km,Local sources,Regional PM signal,0.0198648603601362
diesel_pm_proximity,dist_to_coast,Local sources,Geography,0.01954223114158947
pct_people_of_color,nbr_pm25_100km,Community & EJ context,Regional PM signal,0.019540782008910844
nbr_pm25_100km,nbr_count_100km,Regional PM signal,Regional PM signal,0.019425250033174205
diesel_pm_proximity,dist_to_nearest_sensor,Local sources,Geography,0.0190711953524784
pct_ling_isolated,nbr_pm25_25km,Community & EJ context,Regional PM signal,0.019031434995501195
pct_ling_isolated,latitude,Community & EJ context,Geography,0.019010166868632924
rmp_proximity,longitude,Local sources,Geography,0.018994752647730557
ejf_score,pct_low_income,Community & EJ context,Community & EJ context,0.018856836199727563
pct_people_of_color,nbr_pm25_50km,Community & EJ context,Regional PM signal,0.018795577776169633
pct_people_of_color,pct_ling_isolated,Community & EJ context,Community & EJ context,0.01869410622386511
nbr_pm25_25km,hms_smoke,Regional PM signal,Wildfire smoke,0.018567475430536374
pct_ling_isolated,dist_to_coast,Community & EJ context,Geography,0.018115259522329185
pct_low_income,nbr_pm25_100km,Community & EJ context,Regional PM signal,0.018107929044818564
pct_ling_isolated,longitude,Community & EJ context,Geography,0.018020595356088933
pressure,nbr_pm25_100km,Meteorology,Regional PM signal,0.017878184156847773
traffic_proximity,pct_ling_isolated,Local sources,Community & EJ context,0.017498834560033424
pct_ling_isolated,nbr_pm25_50km,Community & EJ context,Regional PM signal,0.01749566367981784
nbr_pm25_50km,hms_smoke,Regional PM signal,Wildfire smoke,0.017306306616338595
nbr_pm25_25km,nbr_count_100km,Regional PM signal,Regional PM signal,0.01730247603643864
nbr_pm25_50km,day_of_year,Regional PM signal,Season & calendar,0.01724865714924014
pct_people_of_color,dist_to_coast,Community & EJ context,Geography,0.01714739646265627
ejf_score,longitude,Community & EJ context,Geography,0.016903527469111848
ejf_score,pct_people_of_color,Community & EJ context,Community & EJ context,0.016753687051732948
traffic_proximity,superfund_proximity,Local sources,Local sources,0.016215275684340988
rmp_proximity,latitude,Local sources,Geography,0.01620917796155365
humidity,temp_x_humidity,Meteorology,Meteorology,0.016195354090586728
nbr_count_50km,nbr_pm25_100km,Regional PM signal,Regional PM signal,0.016089992563032035
pct_people_of_color,superfund_proximity,Community & EJ context,Local sources,0.01598886109779533
rmp_proximity,nbr_pm25_50km,Local sources,Regional PM signal,0.01598729160426826
diesel_pm_proximity,latitude,Local sources,Geography,0.015937348676699607
rmp_proximity,nbr_pm25_25km,Local sources,Regional PM signal,0.015850738752727897
nbr_pm25_50km,nbr_count_100km,Regional PM signal,Regional PM signal,0.01579732331313679
humidity,nbr_std_50km,Meteorology,Regional PM signal,0.0157901516274712
pct_ling_isolated,nbr_pm25_100km,Community & EJ context,Regional PM signal,0.015756640251558075
pct_people_of_color,pct_low_income,Community & EJ context,Community & EJ context,0.01564671443869176
diesel_pm_proximity,aod,Local sources,Regional PM signal,0.015551580351888292
pct_people_of_color,nbr_std_50km,Community & EJ context,Regional PM signal,0.01552369988263389
pct_people_of_color,dist_to_nearest_sensor,Community & EJ context,Geography,0.014961629278838703
traffic_proximity,nbr_pm25_25km,Local sources,Regional PM signal,0.014876053088031478
latitude,nbr_pm25_100km,Geography,Regional PM signal,0.014842427331522521
pct_ling_isolated,nbr_std_50km,Community & EJ context,Regional PM signal,0.014816823414256443
diesel_pm_proximity,temp_x_humidity,Local sources,Meteorology,0.014796901148466993
superfund_proximity,diesel_pm_proximity,Local sources,Local sources,0.014753066536519463
latitude,nbr_count_25km,Geography,Regional PM signal,0.01458664431673443
ejf_score,nbr_pm25_25km,Community & EJ context,Regional PM signal,0.01452612770980323
pct_low_income,diesel_pm_proximity,Community & EJ context,Local sources,0.014504072594699463
precipitation,nbr_pm25_50km,Meteorology,Regional PM signal,0.014377825069346394
latitude,dist_to_nearest_sensor,Geography,Geography,0.014285835217556803
nbr_std_50km,aod,Regional PM signal,Regional PM signal,0.014273475286499238
traffic_proximity,dist_to_coast,Local sources,Geography,0.014171117313161452
diesel_pm_proximity,longitude,Local sources,Geography,0.014153383357240803
superfund_proximity,dist_to_nearest_sensor,Local sources,Geography,0.013735747445426787
pct_low_income,traffic_proximity,Community & EJ context,Local sources,0.013730134831799351
ejf_score,nbr_pm25_100km,Community & EJ context,Regional PM signal,0.013714996793652106
dist_to_nearest_sensor,nbr_pm25_50km,Geography,Regional PM signal,0.013690189421791482
nbr_count_50km,cams_pm25,Regional PM signal,Regional PM signal,0.013646143952745098
longitude,dist_to_nearest_sensor,Geography,Geography,0.013601412495780053
nbr_pm25_25km,nbr_count_25km,Regional PM signal,Regional PM signal,0.013446133878601566
nbr_count_50km,nbr_std_50km,Regional PM signal,Regional PM signal,0.013211896821006708
rmp_proximity,diesel_pm_proximity,Local sources,Local sources,0.013192265979923404
pct_low_income,dist_to_nearest_sensor,Community & EJ context,Geography,0.013163111861755552
temperature,nbr_pm25_100km,Meteorology,Regional PM signal,0.013138218266465246
dist_to_nearest_sensor,nbr_pm25_100km,Geography,Regional PM signal,0.013036320394321045
nbr_pm25_25km,nbr_count_50km,Regional PM signal,Regional PM signal,0.013008878101484999
nbr_pm25_25km,doy_sin,Regional PM signal,Season & calendar,0.01291457881928056
